,dataset,index,pipe1,pipe2,p,smd,nsub
120,004-2015,56,AIR LLE,LE PCA,0.001953125,0.34632165122468095,9
121,004-2015,57,AIR PCA,LE PCA,0.001953125,16.223893899123006,9
122,004-2015,58,CLE LLE,LE PCA,0.001953125,4.129258733520645,9
123,004-2015,59,CLE PCA,LE PCA,0.982421875,-0.6659894946680721,9
124,004-2015,60,GLE LLE,LE PCA,0.001953125,0.36478623986263,9
125,004-2015,61,GLE PCA,LE PCA,0.60546875,-0.08440262428081968,9
126,004-2015,62,LE LLE,LE PCA,0.001953125,0.6123209916192128,9
127,004-2015,63,LE PCA,LE PCA,0.001953125,0.0,9
128,Zhou 2016,0,AIR LLE,AIR LLE,0.0625,0.0,4
129,Zhou 2016,1,AIR PCA,AIR LLE,0.9375,-3.1422998091958254,4
130,Zhou 2016,2,CLE LLE,AIR LLE,0.9375,-3.845568620275166,4
131,Zhou 2016,3,CLE PCA,AIR LLE,0.9375,-4.00058483541543,4
132,Zhou 2016,4,GLE LLE,AIR LLE,0.0625,26.306603850222498,4
133,Zhou 2016,5,GLE PCA,AIR LLE,0.9375,-3.9856210355903556,4
134,Zhou 2016,6,LE LLE,AIR LLE,0.9375,-3.658782969603,4
135,Zhou 2016,7,LE PCA,AIR LLE,0.9375,-3.980993132278307,4
136,Zhou 2016,8,AIR LLE,AIR PCA,0.0625,3.1422998091958254,4
137,Zhou 2016,9,AIR PCA,AIR PCA,0.0625,0.0,4
138,Zhou 2016,10,CLE LLE,AIR PCA,0.9375,-2.322604181010772,4
139,Zhou 2016,11,CLE PCA,AIR PCA,0.9375,-5.532255150915529,4
140,Zhou 2016,12,GLE LLE,AIR PCA,0.0625,8.38729561292355,4
141,Zhou 2016,13,GLE PCA,AIR PCA,0.9375,-5.350896797348742,4
142,Zhou 2016,14,LE LLE,AIR PCA,0.0625,2.1088660102206562,4
143,Zhou 2016,15,LE PCA,AIR PCA,0.9375,-5.459664398465024,4
144,Zhou 2016,16,AIR LLE,CLE LLE,0.0625,3.845568620275166,4
145,Zhou 2016,17,AIR PCA,CLE LLE,0.0625,2.322604181010772,4
146,Zhou 2016,18,CLE LLE,CLE LLE,0.0625,0.0,4
147,Zhou 2016,19,CLE PCA,CLE LLE,0.9375,-6.681237729705807,4
148,Zhou 2016,20,GLE LLE,CLE LLE,0.0625,9.439028155619262,4
149,Zhou 2016,21,GLE PCA,CLE LLE,0.9375,-6.195275567409354,4
150,Zhou 2016,22,LE LLE,CLE LLE,0.0625,2.8676039063338186,4
151,Zhou 2016,23,LE PCA,CLE LLE,0.9375,-6.068367061138601,4
152,Zhou 2016,24,AIR LLE,CLE PCA,0.0625,4.00058483541543,4
153,Zhou 2016,25,AIR PCA,CLE PCA,0.0625,5.532255150915529,4
154,Zhou 2016,26,CLE LLE,CLE PCA,0.0625,6.681237729705807,4
155,Zhou 2016,27,CLE PCA,CLE PCA,0.0625,0.0,4
156,Zhou 2016,28,GLE LLE,CLE PCA,0.0625,9.363252145877393,4
157,Zhou 2016,29,GLE PCA,CLE PCA,0.5,0.09104029270510958,4
158,Zhou 2016,30,LE LLE,CLE PCA,0.0625,3.1450041149209524,4
159,Zhou 2016,31,LE PCA,CLE PCA,0.125,1.0807548024128804,4
160,Zhou 2016,32,AIR LLE,GLE LLE,0.9375,-26.306603850222498,4
161,Zhou 2016,33,AIR PCA,GLE LLE,0.9375,-8.38729561292355,4
162,Zhou 2016,34,CLE LLE,GLE LLE,0.9375,-9.439028155619262,4
163,Zhou 2016,35,CLE PCA,GLE LLE,0.9375,-9.363252145877393,4
164,Zhou 2016,36,GLE LLE,GLE LLE,0.0625,0.0,4
165,Zhou 2016,37,GLE PCA,GLE LLE,0.9375,-9.335805824383549,4
166,Zhou 2016,38,LE LLE,GLE LLE,0.9375,-12.059528664939272,4
167,Zhou 2016,39,LE PCA,GLE LLE,0.9375,-9.33531459048012,4
168,Zhou 2016,40,AIR LLE,GLE PCA,0.0625,3.9856210355903556,4
169,Zhou 2016,41,AIR PCA,GLE PCA,0.0625,5.350896797348742,4
170,Zhou 2016,42,CLE LLE,GLE PCA,0.0625,6.195275567409354,4
171,Zhou 2016,43,CLE PCA,GLE PCA,0.5625,-0.09104029270510958,4
172,Zhou 2016,44,GLE LLE,GLE PCA,0.0625,9.335805824383549,4
173,Zhou 2016,45,GLE PCA,GLE PCA,0.0625,0.0,4
174,Zhou 2016,46,LE LLE,GLE PCA,0.0625,3.1270025076728336,4
175,Zhou 2016,47,LE PCA,GLE PCA,0.125,0.8534022905824357,4
176,Zhou 2016,48,AIR LLE,LE LLE,0.0625,3.658782969603,4
177,Zhou 2016,49,AIR PCA,LE LLE,0.9375,-2.1088660102206562,4
178,Zhou 2016,50,CLE LLE,LE LLE,0.9375,-2.8676039063338186,4
179,Zhou 2016,51,CLE PCA,LE LLE,0.9375,-3.1450041149209524,4
180,Zhou 2016,52,GLE LLE,LE LLE,0.0625,12.059528664939272,4
181,Zhou 2016,53,GLE PCA,LE LLE,0.9375,-3.1270025076728336,4
182,Zhou 2016,54,LE LLE,LE LLE,0.0625,0.0,4
183,Zhou 2016,55,LE PCA,LE LLE,0.9375,-3.117630442312428,4
184,Zhou 2016,56,AIR LLE,LE PCA,0.0625,3.980993132278307,4
185,Zhou 2016,57,AIR PCA,LE PCA,0.0625,5.459664398465024,4
186,Zhou 2016,58,CLE LLE,LE PCA,0.0625,6.068367061138601,4
187,Zhou 2016,59,CLE PCA,LE PCA,0.9375,-1.0807548024128804,4
188,Zhou 2016,60,GLE LLE,LE PCA,0.0625,9.33531459048012,4
189,Zhou 2016,61,GLE PCA,LE PCA,0.9375,-0.8534022905824357,4
190,Zhou 2016,62,LE LLE,LE PCA,0.0625,3.117630442312428,4
191,Zhou 2016,63,LE PCA,LE PCA,0.0625,0.0,4
